Title,Price,Locality,Description,Condition
Toyota,6000.0,Żebbuġ,Toyota vitz  Sena 2011/2012 10cc petrol Automatic Licenzja 339 Full extras 160023km Japan import  Very good condition  Call 79933925 BARGIAN!! See less,Used - Good
Japan Imports - New Arrivals @CarHub,1000.0,Qormi,"Call on ☎️ 99284690/99291555  Models available in stock:  ✅ Volkswagen Polo ✅ Mazda Demio  ✅ Nissan March ✅ Smart Forfour ✅ Toyota Vitz  Different colors available …. 📍Visit our showroom CarHub, Triq San Edwardu, Qormi. See less",
Toyota vitz,3800.0,Valletta,"Engine: 10cc  Mileage: 110,000 km   Transmission: Automatic ",Used - Good
2007 Qed infittex Toyota Aygo jew Peugeot 107 jew c1,1000.0,Gudja,Kundizzjoni li tkun Kulur li tkun ,
2008 BMW series 3,5000.0,Marsaskala,BMW 320i in immaculate condition.79950701.calls only. ,
🔥🔥 SWİFT AUTOMATİC ONLY 69K,6600.0,Swieqi,"2011 model Suzuki Swift.  ✅Automatic  gearbox ✅ Petrol ✅ 69900km ✅ Touch screen multimedia ✅ Parking back camera  ✅ Front road record camera ✅ Start Stop ✅ Keyless entry  Just change: oil, oil filter, air filter, ac gas…  The car doesn’t have any issues about mechanic and engine. See less",Used - Good
Peugeot 207 CC 16 Hdi ￼ Diesel,5800.0,San Ġiljan,Peugeot 207 convertible 16 HDi a diesel engine ￼ hard top ￼ very cheap to run. Just serviced new battery new tires 2009.￼ For more information please call on 99494326. See less,Used - Good
Year 2003 ta malta 1 owner 2000cc diesel licence august 2023 paid 7749 0591 9949 0591,4200.0,San Ġwann,Part exchange small car ( mazda demio  )(  toyota vitz ) ? ,
Bmw x5 ta malta,7450.0,Qormi,Bmw x5 facelift Full extras Panoramic sunroof 9inch android display Reverse camera Local Old licence scheme €500 Licence paid until october 2005 Automatic Tyres nearly new  30 diesel very good consuption 131k miles  px with small car or rolex considered See less,Used - Good
2010 Toyota passo,4250.0,Żebbuġ,"2009/10 Toyota passo  Automatic in very good condition with only 129500km New cv joints , steering rack, brake calipers, disk brakes and brakes,4 new tyre and fully serviced.  Most items listed done within this March 2023. Car drives very well with no issues at all. Next VRT AUG 2024.  Full extras. 4250 euro.  99546422 See less",
Ford Ka Zetec 2013,5500.0,Swieqi,"Malta vehicle - 1 owner  Mileage only 29,208km Contact 99746622 for more info.  ",Used - Good
Toyota vitz,2300.0,Qormi,,
2007 Ford fiesta,3500.0,Santa Venera,Ford fiesta petrol year 2007 bought new localy so low yearly 110 euro licence have air cfondition power steering electric windows central lock Call 99490702 See less,
Citroen Dispatch,6500.0,Naxxar,Power steering  Very good condition Call on 79411288 ,Used - Good
Toyota vitz automatik,4500.0,Żejtun,Automatik    12.85 hp very good condition outside and inside ,
opel corsa 2008,2899.0,Żabbar,"✅ Opel ✅ Corsa ✅ Van ✅ 2008 ✅ Manual ✅ 13 ✅ Diesel ✅ 72,000mls ✅ 4 Doors ✅ Full Extras ✅ Local ✅ €300 Max License  ✅ Price 💥 €2899💥  See less",Used - Good
TATA Indica 1.4 diesel,1100.0,Msida,"Tata Indica DLX Ta Malta 1.4 Diesel Manual Runs and drives No Rust 19,381 Km from new Clutch in excellent condition  A/C in working condition  Power steering 4 Electric windows Great first car Plates garaged All original items included See less",
Citroën,4000.0,Birkirkara,Low milage  2007 year  It's in very good condition asking price is 4.000€ or nearest  offer Mobile number 9987 9561 quick sale Call only won't answer msgs See less,
Peugeot 207 Ta Malta,3300.0,Birgu,2009 Model 87000km Full extras good condition overall Call 79220487 ,
2018 Ford b-max,11900.0,Swieqi,"Taxi y plate for sale / rent.  Serious offers only please   Not in a hurry to sell.  Car is fully functional and no big damages.  Car includes all extras- electric windows, bluetooth handsfree / audio, sliding rear doors etc....  Contact on 79294686  Car is available for viewing in st pauls See less",Used - Good
VW beetle 1968,10500.0,Rabat,"VW beetle 1968 registered classic, in very good condition & always garaged. ",
Mitsubishi Pajero MK1,7200.0,Sliema,"Perfect on- and off- road, bulletproof and ready to travel 🏝  Year: 1990 Engine: original 2,5 turbo diesel Mileage: shortly below 200,000 km Gear: automatic Condition: excellent shape and driving condition, no roast, interior great without stains VRT: passed and valid until Feb. 2024 Licence: 8€ (classic car) AC: ✅ 4WD: ✅ See less",Used - Good
2012 Nissan micra,5800.0,Naxxar,Nissan micra 2012 Model 71000KM 12 Hp Petrol Automatic Transmission Japan Import Full extras ,
Kia Picanto,6200.0,San Ġwann,,Used - like new
Suzuki Swift 2014,7400.0,Fgura,"Swift ta Malta 2014. 40,000 km. Manual transmission.  77287348 ",
Peugeot 307 XR3 manual ta malta 14 HDI🇲🇹,4000.0,Għargħur,"Peugeot 307 XR3 ta malta 🇲🇹  MANUAL  Good condition inside-out  14HDI 80,000km Engien: 14 turbo diesel manual  Very economical  car Year: 2003 2 Doors 🚪  2 keys 🔑  New set of tyres. Electric adjustable mirrors. 🪞 A/C.🌬 Power steering. 🔋 Pioneer sound system.🔊 Touch screen radio with📻 integrated gps system. Radio steering controls.🎮 Panoramic Sunroof.🪟 Rear parking sensors.  Very Good for a beginner as its very easy to drive. 🚗 No time waisters. See less",
2009 Subaru justy,3200.0,Balzan,"Direct from owner.  Subaru Justy Ta Malta; same as Daihatsu Sirion and Toyota Passo.  In very good condition; bought for my daughter but wants an automatic instead.  License just paid in November 22.  Low license only 111 euro.  Very economical and easy to park.  Full extras including power steering, electric mirrors, electric windows and air condition.  Must sell as car has no use.  99498328. See less",
1997 DAIHASTU terios,2500.0,Żebbuġ,"DAIHASTU TERIOS  WITH  LICENSIE PAID TILL MARCH 2024  WITH FULL EXTRAS  WITH MANUAL GEARBOX   WITH JAPAN IMPORT BUT   WITH OLD REGISTRATION LICCENSIE  ENGINE 13 PETROL  BIL LICENSIJA LANTIKA  ((WITH  AIR CONDITION  WORKS PERFECT  ))))   ((( for now pls call and message only on 79335178 name godwin to make appointment to see the car etc ))))) Car is in VERY  GOOD CONDITION  EVERTHING WORKS PERFECT  (((PRICE  2,500 EURO))) YEAR 1997 LICENSE ONLY 117 FIXED FOREVER   LICENSJA  WITH MANUAL GEARBOX MILEAGE 194,682 KM REGISTRADE IN MALTA IN 10-03-2006  FULL EXTRAS WITH AIR CONDITION ,WITH POWER STEERING  , ELETRIC WINDOWS , AND CENTRAL LOCK ONLY  call 79335178&77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER TO VIEW THE CAR PLS SEND FACEBOOK MSG OR PHONE 79335178 NAME GODWIN AND MEET See less",
2002 BMW x5,8000.0,Żebbuġ,"BMW  X5  TA MALTA WITH LICENSIE PAID TILL FEBUARY 2024  WITH OLD REGISTRATION LICENCES)) =BIL LICENSJA LANTIKA)) 30 DIESEL  WITH AUTOMATIC  GEARBOX  ((((CHEAP LICENSIE =WITH OLD REGISTRATION LICENCES)) ((((((LICENSIE ONLY 580 EURO FIXED FOREVER ))))))) (((( REGISTRADE IN MALTA 19-09-2002)))) ((((((LICENSIE ONLY 580 EURO FIXED FOREVER )))))))WITH  FULL EXTRAS MESSAGE ONLY IF YOU VERY INTERESTED OF BMW  X5  MESSAGI NACCETA BISS JEKK VERA INTERSATI FUQ BMW X5 .  WITH MILEAGE  (108,312 miles) (((PRICE 8,000 EURO))) BODY, INTERIOR ,IN DRIVING VERY PERFECT  EVERTHING WORKS PERFECT START AND DRIVE ((((((((((( 5 door with 5 SEATER )))))))))) ENGINE 30 DIESEL  ghall bejgh ((((((((YEAR 2002))))))) AUTOMATIC  GEARBOX (( FULL EXTRAS  LEATHER SEATS AND WITH ,AIR CONDITION ,POWER STEERING,ELECTRIC WINDOWS, CENTRALOCK))) IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA  See less",
Fiat Grande Punto,3399.0,Bormla,Very good condition. Service recently  Ta Malta. Cheap license €117 Only 13 petrol Very eco clean car. No scratches no damages nothing. See less,
Bmw 318d E90,6500.0,San Pawl il-Baħar,"Bmw 318d in mint condition , new tires set , leather seats , 10 inches androïde fitted , full services  Part exchange accepted with a small car  Call 99546170 See less",Used - like new
Fiat 500 ta 1970 very good condition,9000.0,Siġġiewi,For more information call on 99460564 ,
Audi A3 S-Line,16000.0,Msida,"For sale : Audi A3 S-Line. 1.6L TDl diesel. 5 door hatchback. Manual. Full service history. Good reliable car. Cheap road license and very economical too. Year 2014. Priced to sell €16,000. See less",Used - like new
Ford B-max 2013 Mode Ta Malta,7800.0,Msida,Ford B-max 2013 model ta malta  ✅1.5 diesel ✅manual ✅Full extras ✅Great family car ✅Low kilometers  ✅Very good condition   For more info call on 99447826 Or visit us at Kurt Autosales  134 valley road msida See less,Used - like new
🇯🇵Japan car imports🇯🇵Paola car centre 79901593 79901587,7990159.0,Paola,🔝Top Quality low milage Japan cars🇯🇵               💥  PAOLA CAR CENTRE 💥 🔝Part exchange and monthly payments accepted  📞  79901593     79901587 See less,
Cars,18500.0,San Ġwann,Y plate Citroen for sale very good condition call on 99496123  ,Used - Good
🇯🇵Japan cars🇯🇵 PAOLA CAR CENTRE 📞 79901593 79901587,7990159.0,Paola,🇯🇵New stock of Japan cars just arrived.                @   PAOLA CAR CENTRE 🔝🔝 ✅ Zero deposit and part exchange accepted. ✅ VW Polo more colours and models available. ✅ Warrenty on cars 📞   79901593   📞  79901587 See less,
Smart ForFour Prime 1.0 Auto - 2017/18,9928469.0,Qormi,"🇯🇵Smart ForFour Prime 1.0 Auto - 2017/18  ☑️  Zero Deposit Scheme ☑️ €285 monthly   Call on ☎️ 99284690/99291555  - Automatic  - Low mileage (65,000kms) - Petrol 1.0 engine - License: €125 (included in price) - Japan Import (SVA and JEVIC approved)   ✅Full Extras: Auto Start/Stop, Auto LED Daylight Running Lights, Heated Leather Seats, Collision Avoidance System, LED Rear Lights  👉Part Exchange Accepted 👉2 Years Full Warranty 👉Financing Options available   For more information: 💬 Message us on our Facebook page CarHub 📧 Email us on [hidden information] 📍 Visit our showroom at Triq San Edwardu, Qormi *Terms & conditions apply See less",
Bmw E90,5900.0,Bormla,Bmw E90 318d  New Timing Chain New Clutch kit  Low Licence  Stock No Remaps  Leather Seats Eletric Windows Full Extras See less,Used - Good
2017 Ford Ranger Wildtrak auto 3.2 🔝of the range💎,34800.0,Attard,"Ford Ranger Wildtrak Auto 3.2  🔝Of The Range💎  Mint Condition like new !! 👌  One Previous Owner, Loaded With Extras 💎  ✔️Price €34800 ✔️Hire Purchase Yes  ✔️Yom: 2017/8 ✔️Engine:3.2 Diesel ✔️Transmission:Automatic  Extras: ✔️Wildtrak Package, ✔️Auto Dual Clamate Control ✔️SatNav ✔️Drive Mods / Steering Shifter ✔️Half leather & Coded Interior ✔️Parking assists  ✔️Rear View Camera ✔️Two Tone Alloy Wheels ✔️Sport Steering Suspension ✔️Premium sound system ✔️Part Exchange ✔️CarryMan Canopy   Loaded With Extras Not to Be Missed !!  Available at Alan Motors, Zebbug road Attard.  Contact 77333322 or 20994723  https://www.facebook.com/alanmotors.com.mt/  http://alanmotors.com.mt/ See less",
🇩🇪 Mercedes Benz SL 300 🔵 ☎️ 99407482,20950.0,Balzan,Mercedes Benz 300SL Year 1992 Engine 3000cc Straight six Power 228bhp Automatic gearbox Factory two tone colour - ice blue metallic with andorblue 🔵 Beige interior Dark blue soft top Hard top included Roof electrics work 100% 2 keys Classic licence €8 Need to view the car to appreciate the condition Perfect investment for this top range of Mercedes. Contact 9940 7482 See less,
Kia Rio ta Malta one owner,1000.0,Gżira,Startja u suq ,
Renault Megane 1.4 Petrol,1400.0,Pietà,The car is in very good conditions. 2002 AC Electric windows  4 new tyres New battery New tires Alloy wheels Timing belt done 20.000 Kms ago Ta malta Tax paid until June 2023 See less,
Smart fortwo Ice Shine,7800.0,San Ġiljan,"2013 Ltd Edition, extras include Cabrio, power steering, air condition, paddle shifts etc. Car is in excellent condition throughout. Local car, 1 owner. Phone 79499229 George Debattista See less",
Hyundai Matrix Diesel,2200.0,Swieqi,Hyundai Matrix Diesel - Ta’ Malta 1.5 Diesel Cheap €150 license (paid to Dec 2023) VRT certified Full extras Power steering  Air conditioning All round electric windows Central locking Parking sensors Hands free Bluetooth  Comfort folding seats Tow bar Regularly serviced Always garaged  Selling to make space in garage 79061772 See less,Used - Good
Nisan micra 2006 Ful extras Good condition,7997047.0,Msida,,
Car,18500.0,San Ġwann,,
Vitara parts all parts,123456.0,Paola,Vitara parts  like the one in the picture   all parts  no engine. Parts ,
I exchange honda fit,123456.0,San Pawl il-Baħar,"Exchange honda fit with another car that has the steering wheel on the left, i don't accept cars with the steering wheel on the right with contract takeover See less",
Peugeot Partner,2300.0,Sliema,Power steering A/C Good condition ,
Limitless,1200.0,Marsa,,Used - Good
2009 BMW 320d convertible,8600.0,Swieqi,"Amazing low mileage convertible just 47k, clear history, in perfect technical condition, never smoked in the car. New VRT done just 2 months ago and valid for next 2 years. Only thing back and front bumper suggested to be sprayed - car was parked while someone hit and run (i have photos) See less",
Bmw X3,4200.0,Żurrieq,Bmw x3 20 diesel engine   Manual Full leather  Sunroof 2006 120k miles 1 year licence paid   Px only with vitz 13 automatic   📞 on 99641106 See less,Used - like new
Small cars 4 sale,3500.0,Tarxien,Mazda demio 2012 automatic 6500 euro  Kia Ceed 2009 automatic 4200 euro  Suzuki swift 2008 keyless Manual 3500 euro  Ford Fiesta Style+ 2010 Manual 4000 euro See less,
Seat Leon,3750.0,Ta' Xbiex,"Local - 118k miles Model 2008 Manual- 1.4 petrol - Electric folding mirrors Electric windows Rear parking sensor License paid till February 2024 (only 140€) Good condition, always serviced on time See less",Used - Good
2000 Daewoo lanos,2200.0,Żebbuġ,"DAEWOO LANOS BIL 1OWNER WITH 1 OWNER WITH FULL EXTRAS U MESSAGI MINN HU VERA INTERSAT  FUQ DAEWOO   BISS.. (((TA MALTA ENGINE 15 PETROL)))  WITH 5 DOOR GHALL BEJGH WITH OLD REGISTATION   WITH ((WITH  AIR CONDITION WITH POWER STERING , ))))  ((WITH FULL EXTRAS ))))  ((( for now pls call and message only on 79335178 name godwin to make appointment to see the car etc ))))) Car is in VERY GOOD CONDITION  EVERTHING WORKS PERFECT START AND DRIVE  (((PRICE IS NEGOTIABLE 2,200 EURO))) YEAR 2000 LICENSE ONLY 196 FIXED FOREVER WITH OLD REGISTRATION LICENSE  EDA BISS 196 EURO U TIBQA HEKK GHALL DEJJEM WITH MANUAL GEARBOX MILEAGE 71,031km = GENIUNE MILEAGE Car is in  MINT CONDITION call 79335178&77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER REGISTRADE IN MALTA IN 26-6-2001 TO VIEW THE CAR PLS SEND FACEBOOK MSG OR PHONE 79335178 NAME GODWIN AND MEET See less",
Nissan Micra (1500e Deposit),1500.0,San Pawl il-Baħar,"Nissan Micra, Ta malta 2017 Engine petrol, manual Full extras with AC  Deposit 1500euro and monthly payments accepted  Bugibba, 7759-8480 See less",
1995 Hyundai accent 1.5 gt,1200.0,Żebbuġ,Good condition  Vrt febrary 2023 ,
1997 Toyota windy,2700.0,Birkirkara,Good condition A/C  New tyres Magna 1nt C12 Automatic Reversing camera (screen not included) ,
Cars For Sale❗️starting From €1800,1800.0,Valletta,Pm for more info❗️ ,Used - Good
Bmw 120d,5000.0,Safi,Description in photo ,
Cars 4S,1080.0,Marsa,Range 2015 55k Mercedes 2018 50k Swift 2007 keyless 3.5k Polo 1989 1.2k Bmw f10 2013 14k Bmw f30 2013 15k Suzuki 4x[hidden information]k See less,
Kia ceed ta 2009 automatic,,Tarxien,Kia ceed Automatic 2009 58k miles ,
Mini cooper - Deposit + Monthly 💥💥,4200.0,Qormi,"Mini Cooper , Year 2004 , 16 petrol , Manual gearbox , Power steering , Central lock , Electric windows , Aircondition , Alloy wheels , 60k miles , License paid , Start & Go🌟  Part exchange considered 💥 99725277 ☎️ See less",Used - Good
Renault Megane 2009 Topdown Series MT,1900.0,Pietà,"FOR SALE!!!  Renault Megane 2009 Topdown Series MT  Seller is the Owner NO Agent Please  - New Tires - Newly Change Oil - Diesel Manual Transmission - Push Button Start - Powered Window - AC and Heater in Good Condition - Pioneer Bluetooth Stereo Player - Topdown In Good Condition - Just Gas and Drive - Well Maintained and in Good Running  RFS : GoingHOME  Interested Buyer DM me!!!  4,300euros ONLY ❤️❤️❤️ (Negotiable) See less",Used - Good
Toyota Ractis 2005 (1.3 petrol),3999.0,Żejtun,Toyota Ractis Japan Import 1.3 Petrol Milage 150k Automatic Full Extras New license Paid till FEB 2024 Oil just changed New VRT till FEB 2024 See less,
Renault Megane Convertable,4400.0,Gżira,Service done ✔️  Time belting ✔️  General maintanence ✔️  İts really good condition  There is not any problem.  VRT finish on july  No need to do anything just drive safetly See less,Used - like new
"2012 Suzuki For SALE, price is negotiable.",3000.0,Marsa,Message for more information and viewing. ,
Ford Fiesta 2005 - Ta Malta,6000.0,Fgura,"Ford Fiesta 2005 Ta Malta 14 Petrol Manual Power steering, Ac Price Negotiable 79052815/79076203/79298694 See less",
Hyundai Tucson (Auto),2000.0,Birkirkara,Hyundai Tucson  Full extras  Diesel engine  Automatic transmission  Leather interior  Sun roof..  Ready fully serviced/new tyres new battery!!  99440022 See less,Used - Good
2008 Mazda 2,6480.0,Birkirkara,"- 1300CC Petrol  - Manual  - 2008 model  - Full Extras: Air Condition, Power Steering, Electric Windows, Remote Central Lock  - Factory Alloy Wheels  - Mileage: 74,000 miles  - License valid till October  - VRT every 2 years  - Only one previous owner  - In excellent condition!!  Call 99972794 Price: €5300 or nearest offer See less",
Bmw x5 ta malta,5300.0,Qormi,Bmw x5 facelift Full extras Panoramic sunroof 9inch android display Reverse camera Local Old licence scheme €500 Licence paid until october 2005 Automatic Tyres nearly new  30 diesel very good consuption 131k miles  px with small car or rolex considered See less,Used - Good
🔥🔥 SWİFT AUTOMATİC ONLY 69K,7450.0,Swieqi,"2011 model Suzuki Swift.  ✅Automatic  gearbox ✅ Petrol ✅ 69900km ✅ Touch screen multimedia ✅ Parking back camera  ✅ Front road record camera ✅ Start Stop ✅ Keyless entry  Just change: oil, oil filter, air filter, ac gas…  The car doesn’t have any issues about mechanic and engine. See less",Used - Good
pagero shogun For sale good condition 79850602,6600.0,Iklin,Low mileage ,
2006 BMW 5 series e60,9500.0,Qormi,"Regretfully selling my BMW, the car I always kept it in mint condition, always serviced in time and original BMW parts. Selling due to the fact that I don't have more time for this car. The engine is M47 2.0 liter  single turbo (replaced).This is engine is the one without the timing chain issue. Swirl flaps which is a common problem for this car are removed -> License 556 euro. Please no time wasters. Thank you See less",
2007 BMW 3 series - 318d,6500.0,Żabbar,"Bmw 3 series - 318D - Cheap license  CALL/Whatsapp on 7957 9657  Mileage: 106,508 miles Diesel 6 speed gearbox 5 door  License: 339Euro per year See less",
2001 Toyota corolla,5000.0,Żebbuġ,"TOYOTA COROLLA WITH MILEAGE 119,731 KM BI LICENSJA IMHALSA  SA JANNAR 2024 ((LICENSIE PAID TILL JUNUARY 2024))           WITH  1   OWNER   WITH FULL EXTRAS  WITH AUTOMATIC GEARBOX   AND PREVIOUSLY OWNER  VERY  CAREFULLY  WITH JAPAN IMPORT BUT   WITH OLD REGISTRATION LICENSIE ..  ENGINE 13 PETROL  BIL LICENSIJA LANTIKA  ((WITH  AIR CONDITION  WORKS PERFECT  ))))   ((( for now pls call and message only on 79335178 name godwin to make appointment to see the car etc ))))) Car is in VERY  MINT CONDITION  EVERTHING WORKS PERFECT  (((PRICE  4,200 EURO))) YEAR 2001 LICENSE ONLY 117 FIXED FOREVER   LICENSJA  MILEAGE 119,731 KM REGISTRADE IN MALTA IN 23-2-2006  FULL EXTRAS WITH AIR CONDITION ,WITH POWER STEERING  , ELETRIC WINDOWS , AND CENTRAL LOCK ONLY  call 79335178&77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER TO VIEW THE CAR PLS SEND FACEBOOK MSG OR PHONE 79335178 NAME GODWIN AND MEET  See less",
Van Citroen seven seater,4200.0,Birkirkara,Model 2003 19 diesel full extras ,
Toyota Starlet,2000.0,Żurrieq,Toyota Satrlet 1.5NT  Start and go 🔝  A/C Works good   Automatic   Price Negotabile  ,Used - Good
Toyota Vits,2400.0,Qrendi,Toyota Vits 10cc Petrol Auto matic Licence 117 euro Full extras Very good Condition Cal 77799900 ,
2016 Volkswagen Polo 1.2Tsi Automatic japan imports chevron auto dealer,3600.0,Balzan,Volkswagen Polo 1.2Tsi Automatic  All cars in stock available for viewing for more info call on 99429811 or visit our showroom in Pieta   See less,
Toyota vitz automatik,12900.0,Żejtun,Automatik    12.85 hp very good condition outside and inside ,
"Toyota Liteace 1991 , 20 Diesel Engine",4500.0,Gżira,€700 just spent on engine and fuel pump .   Body needs attention   VRT April 2023   ,Used - Fair
Toyota Tercel Diesel Auto,1500.0,Valletta,Toyota fija ac u power steering intik bieba ta wara maha shoks godda u tie rods godda 79445470 ,Used - Good
Smart,1700.0,Qormi,Smart  petrol good condition call 79333173 ,
2010 Honda fit 13 automatic 132km service done licenced paid till next April,4000.0,Qormi,Honda fit  2010 ,
2013 Nissan march,5400.0,Naxxar,"Nissan March 2013 - Top of the range model puredrive 128,000 km Keyless Entry Keyless Ignition Start/Stop Remote lock/unlock + spare key Sport Mode Automatic Climate Control Open Doors Sensors Side Mirror auto open/Close  4 windows main driver control  Childlock  Back and front seat speakers Some Scratches on body as seen in pictures Bluetooth device to connect phone included See less",
Mazda 3 prices to sell 1.6 petrol 5 door,5800.0,Naxxar,"Mazda 3 saloon prices to sell.PRICE negotiable, runs smoothly and service done august this year. Some paint issue (fading) and rust on the door frames (pilastri) See less",
2006 Honda accord type s,1800.0,Swieqi,"Honda accord type S full leather, full extras. Ta Malta  ",
2015 AUDI A1 SPORT TDI,7500.0,Swieqi,"AUDI A1 SPORT TDI 1598 CC HATCHBACK DIESEL 82,637 KM MANUAL 2015 CORTINA WHITE ONE OWNER ONLY SERVICED BY AUDI  SEND PM OR CALL ON 79791990 See less",
Opel Corsa D,15000.0,Fgura,Opel corsa D 1.4 Petrol/LPG YOM 2008 ta malta 4 brand new tyres Sunroof  Converted to LPG Android 10” radio Oil change every 3000km  New timing chain  New A/C compressor  New A/C condenser New radiator due to small crack on the side New shocks all round  New balljoint New wishbones  P/X considered or with GOLD/Boat/125cc Bike 50% deposit and monthly payments.   For any info don’t hesitate￼ to ask or call on 99667248 See less,Used - Good
Citroen C2 HDi,6500.0,Naxxar,1.4 HDi Citroen C2. Good working order. Includes AC (works) but fan not working.   Reliable and easy to drive.  See less,Used - Fair
Classic MGBs,1300.0,San Ġiljan,White [hidden information]e Red [hidden information]e Green [hidden information]e All classic approved in very good running order. Green needs some attention. NO TIME WASTERS Serious calls only please 7949 9229 GeorgeDebattista See less,
1993 Hyundai excel,11800.0,Żebbuġ,"HYUNDAI EXCEL WITH 1 OWNER AND  VERY MINT CONDITION                                      WITH GENIUNE MILEAGE = 32,307KM ))))  PRICE 2,500 EURO   ))) 5 DOOR WITH MANUAL GEARBOX (((( ENGINE 13 PETROL) ((WITH NO EXTRAS = MEAN WITH NO  AIR CONDITION  AND WITH NO POWER STERING ,  )))  YEAR 1993 EVERTHING WORKS PERFECT   ghall bejgh PREVIOUSLY OWNER VERY CAREFULLY  ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) ((((((LICENSIE ONLY 117 EURO FIXED FOREVER ))))))) REGISTRADE IN MALTA 11-3-1993  WITH TA MALTA IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA See less",
Fiat Punto,2500.0,Marsaskala,One owner Fiat Punto 2002  100000 miles  in good condition  Just passed VRT ( April ) Power steering not working only manual 5 speed Manual See less,
Suzuki Swift 2016,1000.0,Marsa,"Perfect condition  2016 full extras Automatic  1 owner   Japan import  License  180  Price negotiable for cash  Part exchange : cars, y plate , jetski , rolex etc See less",
Skoda Felicia,8300.0,Birżebbuġa,"Skoda Felicia glx 1.3 petrol,manual, engine works perfectly, great conditions inside-out, 69000KM Only, license 117€. Selling because I need a bigger car. Info pm See less",Used - Good
Fiat 500,1200.0,Luqa,Fiat 500 in excellent condition ,
Peugeot 308,9300.0,Swieqi,"Peugeot 308 2008 model  56,638km 1.6L petrol Manual AC Serviced every 6 months Always garaged  €4,900  79707005 See less",Used - Good
2011 Alfa Romeo giuletta qv 1750 tbi 235 bhp,4900.0,Marsa,"Half leather seats with red trimmings.  76,000 miles ",
1999 Toyota starlet,10500.0,Żebbuġ,"TOYOTA STARLET WITH AUTOMATIC  GEARBOX (((( ENGINE 15 DIESEL))  WITH AIR CONDITION AND WITH POWER STERING     PRICE 2,600 EURO   ))) ((((((LICENSIE ONLY 214 EURO FIXED FOREVER ))))))) 5 DOOR ((EXTRAS WITH  AIR CONDITION  AND WITH POWER STERING , ONLY )))  WITH JAPAN IMPORT YEAR 1999 EVERTHING WORKS PERFECT  ((((((((((( 5 door with 4 SEATER ))))))))))  ghall bejgh  MILEAGE((203,154 KM)) REGISTRADE IN MALTA IN 30-8-2002 IN VERY GOOD CONDITION FOR VIEWING PLS I SEND THE MESSAGE FACEBOOK AND I TAKE  ADDRESS ETC CONTACT 79335178,77585213 MORE CARS FIND US FACEBOOK PAGE OWEN AUTO DEALER MALTA. See less",
Daihatsu,2600.0,Żejtun,I’m selling my car in Malta. If you have any questions please feel free to call me on 99660072! Thank you See less,Used - Good
Renault Megane,2200.0,Ħamrun,Immaculate Condition!! Full Extras!! Locally Bought!! 2011!! 15 Diesel!! Manual!! Licence 339eur max!! 74k KM!! For more info call on 79498860!! See less,
Fiat 500 ta 1970 very good condition,4800.0,Siġġiewi,For more information call on 99460564 ,
Renault Megane Coupe 15 DCI,9000.0,Qormi,"Renault Megane Coupe  Price €5,000 YOM 2009 Manual 15 DCI Diesel Full Leather Interior Keyless Air condition See less",
Renault convertable,4500.0,San Ġwann,Renault convertable good condition price negotiable must see. Pls call owner 79431441 ,
CITROEN C1 AUTOMATIC 2014,3500.0,Sliema,Citroen C1  Automatic gearbox  1.0 Petrol 39600mil  63800km electric windows  very cheap lisence AUG23 VERY VERY GOOD CONDITION AND SO CLEAN CAR  Incredible fuel economy  Engine condition is perfect   Im selling because im going back to my country See less,Used - like new
Peugeot 3008 2016 model,5800.0,Swieqi,As per photo description. Car is Full exras and used to go to and from to work only. ,Used - like new
Tercel,15600.0,Qormi,Always kept in a good condition. Automatic. Sound included ( sub 1000w ) No time wasters please Licenzja sa awissu. See less,
